Traffic Light Id,Controlled Lanes,Number of Phases
1581783926,10,4
17199686,12,8
1840155828,12,4
2108719976,6,5
214620430,30,10
243351999,13,8
25579778,16,6
267380207,15,11
267517510,13,6
271405446,26,7
272514267,15,9
279014956,17,6
279299817,24,10
292572205,5,4
30503255,36,10
306484190,28,15
308900438,6,5
31065768,27,11
321324256,12,10
321325405,7,8
3214665956,8,4
335525545,10,7
39732721,19,6
432411761,18,9
4330799728,5,4
476075018,27,16
498468294,18,4
5572889449,13,8
7009179660,10,7
7616444534,19,10
7623669975,17,13
7627056291,7,6
7628244053,40,10
89129103,14,11
cluster_1031988642_2230685474_267289885_3051759901_305519243_7617786208_7622194984_937878779,42,7
cluster_1041665625_1195228772_1387938772_1387938773_1387938778_1387938791_1387938793_1387938796_1757124361_1757124367_1757124394_32564126,24,14
cluster_1193967973_2117568679_271666695_319229058,29,16
cluster_1200363833_1200363844_1200364014_1200364088_274083968_305559042_305559046_7593410996,21,14
cluster_1242175752_1840503577_1840503583,14,7
cluster_1242949438_2230504053_2230685419_2230685443_271787024_321573214_321573215_359022505_4622372941_7622194980_7622194981_7622194982_7622194983_89129156,23,10
cluster_1270380467_1270380469_1270380471,8,6
cluster_1379976907_1418778465_1434862832_1434862833_1497476927_1501766404_1993601939_2167318871_5458679537_5458679538,35,16
cluster_13876315_20921026_2363220623_476074973_476074977_476074983,9,6
cluster_13876325_281116670,35,10
cluster_1387938663_1387938676_1387938692_1387938693_1757124350_1757124352_255881112_7593411008,20,11
cluster_1389744657_1791639531_243780145,33,16
cluster_1416087225_1416087251_1416087290_1416087318_266812023_479277646,18,10
cluster_1418777922_1418777925_243630666,10,9
cluster_1423242652_1815670962_1815670964_89173763,30,14
cluster_1427080610_1427080612_1427080621_1427080654_1840464676_2291353499_2291353500_2525814176_6681347680_89130928,16,10
cluster_1434862767_1434862773_320621276,28,11
cluster_1438846501_1438846509_1834036292_26288878,21,14
cluster_1442150396_1834171725_290100048_7616444540,15,11
cluster_1442150432_1442208008_266359531_7625163215,24,8
cluster_1443568616_310280199_365519573,6,4
cluster_148517293_2108758054,26,7
cluster_1500083093_1500083101_1507566574_267783912,10,7
cluster_1509951406_1757370784_1757370785_1840464471_2046459353_2046459354_2338014823_243749571_6660364372,29,19
cluster_1517542714_2046445409_2046445411_2125534786_497590081_6681347642_7590327512_7590327526_7590327546_89127267,17,8
cluster_1540767879_1540767896_1540767903_2118007010_271666614_335551641_3836171504_3836171505_98101360,28,16
cluster_1542094095_1993435751_25633338_3048861139_3048861140_312005795,14,7
cluster_1723628631_1723628632_1723628635_1723628638_1834131513_1834131530_7616444542_7616444543_7616444546,19,13
cluster_1757124433_1839790474_1839790475_1840155803_255883212,30,13
cluster_1795399122_1852723938_1852723941_1852723942_21532605_2337351260_975729494,38,8
cluster_1833941945_1833941950_1833941953_32564122,19,8
cluster_1833965782_1833965795_1833965806_1833965819_1833965827_1833965832_32564118_371775504_371781950,22,8
cluster_1834036285_26288876,10,10
cluster_1840038403_1840038404_1840038405_1840038406_255881238_89173808,29,13
cluster_1840209242_243641585_7615917758_7615917760,40,8
cluster_1840464316_30503246_311487342_7610014924,45,12
cluster_1840464375_32564065_7380517175,12,4
cluster_1840464645_321328875,14,5
cluster_1840464736_1840464743_382978821_60044051,17,15
cluster_1851982706_2119320674_2119320675_251004775_3405515861_3994069657_89180081,39,15
cluster_1852696865_1852696866_249179882,32,8
cluster_1863241610_1863241614_1863241632_1863241633_1863241635_1863241638_1863241639_1863241641_1870520994_7705782706,14,13
cluster_195635333_271482952_271662929_89129116,9,5
cluster_2046445399_674241651,10,5
cluster_2108719632_2108719645_2337351143_249398320_308906206_7707481398,29,10
cluster_21532591_2337351188,25,7
cluster_21532622_3371704901_3379435671_538429308,22,7
cluster_2277358882_2330725114_2330725115_6660392178_6660392214_911171252,17,12
cluster_2358496785_2358496786_2362441539_2362441541_2362441548_335551657_89129168,21,7
cluster_241292475_4542971985,24,9
cluster_243628647_243628765_273472941_277740154_305559052_307620080_308656395_315993626_517248644,14,8
cluster_25579770_2633530003_2633530004_2633530005,39,10
cluster_260470961_427693937,14,6
cluster_26288887_365515590,15,11
cluster_26423900_7409073862,10,8
cluster_26423915_418085798,21,9
cluster_271273941_59743835,16,8
cluster_271273943_339223426,36,10
cluster_276507127_30503253_335525532_335525534,15,9
cluster_281967823_305519232_7009179649_7626856596_7626856598_7626856599,29,7
cluster_285141680_335575054_792810637_792810658,36,17
cluster_289710194_3371623541,18,9
cluster_307632375_3300416891_3300416896_335543933,33,11
cluster_30965691_4542971977_4542971978_4542972047,18,9
cluster_30965800_30965801_310452687,27,8
cluster_30965809_938227820,11,8
cluster_30965815_7402339364,28,10
cluster_331034607_414259171_432918171,21,15
cluster_3359328497_3450556278_3450556285_3450556995_3466088116_768188545,32,12
cluster_3466088112_811928045,15,8
cluster_442648110_454387261,21,13
cluster_4446632352_4446632354_690288770_7652124537,16,7
cluster_475311928_475944687_475944688_480162640,8,6
cluster_581455_7437612,15,8
cluster_7707167828_89170505,18,8
gneJ194,11,10
gneJ21,31,13
gneJ223,10,4
gneJ229,12,4
gneJ233,10,4
gneJ371,10,4
gneJ375,11,5
gneJ378,10,4
gneJ381,10,4
gneJ394,4,4
gneJ400,10,6
gneJ5,18,13
gneJ500,34,16
gneJ67,23,12
gneJ8,6,4
